StudentID,Age,Gender,Ethnicity,SocioeconomicStatus,PreviousGrades,GPA,TestScores,DaysPresent,DaysAbsent,Punctuality,ExtracurricularActivities,ParentalEducation,HouseholdIncome,DisciplinaryActions,Suspensions,Tutoring,Counseling,Mentorship,CommuteTime,TransportationAvailability,SocialNetwork
31,21,Male,Asian,Low,78.91885384,2.031016661,55.82389248,168,12,0.899348686,Yes,High School,37669,2,No,Yes,Yes,Yes,27,No,0.126658466
32,18,Female,Asian,High,84.90078783,2.56176393,62.71306157,162,18,0.968589096,No,Associate Degree,92010,2,No,No,No,No,32,Yes,0.346451307
33,18,Male,Hispanic,High,78.78975052,2.415912719,64.77339623,161,19,0.889177324,Yes,Master's Degre,96764,4,Yes,Yes,No,Yes,42,Yes,0.339076848
34,20,Male,Asian,Medium,77.89872565,2.083970858,76.49851705,156,24,0.941716709,Yes,High School,21843,3,No,Yes,Yes,Yes,43,Yes,0.565632193
35,20,Female,Asian,High,78.97153682,2.95852018,83.91959428,174,6,0.946374547,Yes,Associate Degree,85609,0,No,No,Yes,Yes,43,Yes,0.291458418
36,24,Female,White,Medium,83.63469765,2.363446586,79.63854704,161,19,0.834792741,Yes,PhD,70812,1,No,Yes,No,No,45,Yes,0.11727177
37,19,Female,Hispanic,Medium,81.48029953,3.486163079,57.41801686,170,10,0.872243212,No,Associate Degree,36059,1,Yes,Yes,No,No,44,No,0.653682666
38,21,Female,Black,Medium,94.16543991,3.695855768,58.60430162,153,27,0.927460431,No,High School,60768,1,No,No,No,No,26,Yes,0.851036939
39,21,Female,White,High,61.97987414,3.091170365,93.93846249,176,4,0.814139322,Yes,Bachelor's Degree,45395,1,No,Yes,Yes,Yes,37,Yes,0.931608095
40,24,Female,Hispanic,Low,93.33268286,3.963414685,77.91761575,151,29,0.872308038,Yes,Master's Degre,40202,0,No,Yes,Yes,No,23,Yes,0.972578418
41,23,Female,White,Medium,93.7569845,2.900957143,93.49689164,151,29,0.906959893,Yes,PhD,33273,0,Yes,No,Yes,No,43,Yes,0.781116846
42,23,Male,Black,Low,71.39632086,3.02673642,68.57732557,154,26,0.999244899,No,Associate Degree,68889,4,Yes,Yes,Yes,No,57,Yes,0.139702428
43,24,Male,Black,Low,78.5140782,3.978435508,80.72000037,172,8,0.894906713,Yes,High School,93048,3,No,No,No,No,20,Yes,0.853111824
44,23,Female,Hispanic,High,77.54153954,2.463096872,76.1831708,159,21,0.963211351,No,High School,65510,0,No,Yes,No,Yes,22,Yes,0.399960073
45,20,Male,Black,Low,68.74039337,3.885091879,65.95617449,159,21,0.886413457,No,Master's Degre,90649,4,No,No,No,Yes,42,No,0.729911314
46,21,Male,White,Low,75.87187388,2.08567511,73.4957686,158,22,0.959278145,Yes,High School,22881,2,No,No,Yes,No,11,No,0.531268005
47,24,Male,Black,High,61.77551089,2.892773781,75.12454384,162,18,0.91908296,Yes,High School,65913,3,Yes,Yes,No,Yes,43,Yes,0.828606134
48,21,Female,White,Medium,71.11288291,2.140007024,60.03854874,156,24,0.977319088,Yes,Master's Degre,85037,0,No,No,No,Yes,38,No,0.425505733
49,18,Female,White,Low,92.66728702,3.458469486,65.75051862,154,26,0.88218851,No,PhD,82457,2,Yes,Yes,No,Yes,46,Yes,0.061793811
50,20,Male,Black,High,71.38249207,3.216817872,89.57048753,175,5,0.920860884,No,Bachelor's Degree,55343,4,No,Yes,No,Yes,13,No,0.556823711
51,22,Female,Hispanic,Low,92.72826675,3.413268527,95.78941197,159,21,0.926003736,Yes,Bachelor's Degree,82389,0,Yes,No,No,Yes,21,Yes,0.171290555
52,20,Male,Asian,Low,81.26397858,2.7489608,67.98970468,159,21,0.883476588,No,Associate Degree,98250,0,Yes,Yes,Yes,No,35,Yes,0.965517632
53,24,Male,Black,Medium,95.19450709,2.738963868,65.34861411,155,25,0.828862409,Yes,PhD,28656,2,No,Yes,No,Yes,37,No,0.526963066
54,22,Male,White,Low,82.99118217,2.090638558,59.75985823,176,4,0.818711881,Yes,Associate Degree,25741,0,Yes,No,No,No,12,Yes,0.553558794
55,18,Male,White,High,61.18672892,2.699889879,83.92455843,177,3,0.80333431,No,Bachelor's Degree,36661,1,No,Yes,Yes,No,29,No,0.907265713
56,24,Female,Black,Low,87.0168083,3.858576805,66.15498508,168,12,0.974706853,No,Master's Degre,48690,0,Yes,Yes,Yes,No,19,Yes,0.624585245
57,19,Female,Hispanic,Medium,61.79414272,2.758453074,99.38747695,170,10,0.847294982,No,High School,52833,3,Yes,No,No,Yes,27,Yes,0.302729377
58,21,Female,Hispanic,Medium,78.02388076,3.662735412,66.2842401,157,23,0.84230135,No,Bachelor's Degree,91240,2,No,Yes,No,Yes,36,Yes,0.296094617
59,18,Male,White,High,97.17706778,3.684651009,69.70680234,150,30,0.94720708,Yes,PhD,97711,3,No,Yes,No,Yes,40,Yes,0.50157865
60,21,Female,White,Medium,66.60815757,2.746482313,80.16670981,177,3,0.864003223,Yes,Bachelor's Degree,77141,4,Yes,No,No,Yes,36,No,0.866608229
61,23,Male,Hispanic,Low,75.59489412,3.263977361,90.08421466,166,14,0.901208938,Yes,PhD,98232,3,Yes,Yes,Yes,No,51,Yes,0.794729341
62,19,Female,Asian,Medium,89.19441235,2.190743205,73.47593327,156,24,0.832502213,No,PhD,59023,1,No,Yes,No,No,10,No,0.962740586
63,19,Male,Black,High,95.29034224,2.207357161,71.13280169,163,17,0.991949144,Yes,PhD,60209,1,No,No,Yes,No,15,No,0.071886123
64,18,Male,White,Medium,86.83772019,2.097315327,99.78189168,170,10,0.97031628,No,Associate Degree,34440,3,No,Yes,No,Yes,20,Yes,0.268326069
65,19,Male,White,Medium,70.32693017,3.162030187,50.52468206,179,1,0.972757925,No,Master's Degre,27960,4,Yes,Yes,No,No,43,Yes,0.080207708
66,22,Female,Hispanic,Medium,86.98431412,2.852141955,94.75326444,170,10,0.88135475,No,Bachelor's Degree,42462,0,No,No,No,No,48,No,0.751079194
67,19,Female,Black,High,71.86910564,3.096064713,57.4570413,166,14,0.952472243,Yes,Master's Degre,37821,1,No,No,Yes,No,29,No,0.140833689
68,21,Female,Hispanic,Medium,88.73716919,3.042146381,89.29626381,158,22,0.828775231,No,High School,77772,3,Yes,Yes,No,Yes,30,Yes,0.099886318
69,21,Female,Black,Medium,98.1613251,2.700405982,80.89657799,166,14,0.801723801,No,Bachelor's Degree,47258,3,No,Yes,No,No,30,No,0.561672207
70,24,Male,Black,Low,88.85573804,3.35494683,67.09236427,154,26,0.803994587,No,Master's Degre,82524,3,No,No,Yes,No,27,No,0.411484712
71,21,Female,Black,High,94.51522012,3.517003762,93.69374778,175,5,0.917320347,No,Master's Degre,42115,0,No,Yes,No,Yes,30,No,0.715101339
72,24,Female,White,Medium,60.08415373,2.029256518,50.6453614,174,6,0.891078981,No,High School,66433,2,No,Yes,Yes,No,28,Yes,0.487015392
73,21,Male,Asian,High,88.70288499,2.4144846,61.3345326,179,1,0.90360307,No,PhD,99364,4,Yes,Yes,No,Yes,13,No,0.425334596
74,22,Male,Hispanic,Medium,93.18350227,3.426471736,78.34463981,169,11,0.801492628,No,Bachelor's Degree,90077,2,No,No,Yes,No,22,No,0.425500449
75,24,Male,Asian,Medium,61.6223495,2.773240345,67.577113,178,2,0.884537324,No,Bachelor's Degree,60644,4,No,Yes,Yes,Yes,27,No,0.87187638
76,20,Female,Hispanic,Medium,94.86390909,3.324967894,80.51887477,157,23,0.943613632,No,High School,82643,4,No,Yes,Yes,Yes,38,No,0.395225651
77,23,Male,Black,Low,70.26776913,2.693925319,51.20550967,155,25,0.88853874,No,PhD,33311,3,No,No,No,Yes,34,Yes,0.333397128
78,18,Male,White,Low,86.61168408,2.781510305,55.82294652,160,20,0.946443841,No,Bachelor's Degree,50531,1,No,No,Yes,No,22,Yes,0.338535077
79,21,Male,Asian,Low,92.01419516,2.317357747,56.35481201,168,12,0.846603793,No,Bachelor's Degree,34588,3,No,No,Yes,No,36,No,0.196600797
80,19,Female,White,High,86.50658052,2.516462039,59.4641823,153,27,0.962628401,Yes,Bachelor's Degree,69416,0,Yes,Yes,No,Yes,28,No,0.860688851
81,21,Male,Hispanic,High,63.69139168,3.210823515,72.96657204,167,13,0.917686248,Yes,PhD,32380,4,Yes,Yes,Yes,Yes,58,No,0.146630815
82,19,Female,White,Low,83.85286075,2.866326223,87.60643498,150,30,0.84215262,No,High School,62645,1,Yes,No,No,Yes,10,Yes,0.908610738
83,23,Female,White,High,81.98334627,3.548605366,95.2769419,162,18,0.847344095,No,Bachelor's Degree,37818,4,No,Yes,No,Yes,47,Yes,0.283467722
84,23,Male,Asian,Medium,96.01285072,3.70516991,91.76862651,163,17,0.925606093,No,Master's Degre,50857,4,No,Yes,Yes,Yes,28,No,0.899426822
85,23,Male,Black,Medium,76.16958919,3.083292836,59.84439359,173,7,0.965987919,Yes,PhD,41711,3,No,Yes,Yes,Yes,10,No,0.790820657
86,19,Female,White,Medium,72.84324388,3.516534584,72.05752761,150,30,0.883125556,Yes,Associate Degree,25097,1,Yes,Yes,No,Yes,49,Yes,0.581987521
87,21,Male,Black,Low,89.99403058,2.613809026,59.97057989,179,1,0.851660086,Yes,High School,48393,1,No,No,Yes,Yes,26,No,0.669470004
88,23,Male,Hispanic,High,76.50701304,2.829942431,63.22359083,178,2,0.973402321,No,Master's Degre,42076,4,Yes,No,Yes,Yes,30,No,0.325844091
89,22,Female,White,Low,85.843847,3.425555352,75.17734908,160,20,0.933853658,No,Bachelor's Degree,77609,1,No,Yes,Yes,Yes,31,Yes,0.574228614
90,24,Female,Asian,High,85.8580036,2.772423986,53.40545124,166,14,0.889617097,No,Associate Degree,49317,1,No,No,Yes,Yes,24,Yes,0.292402901
91,19,Male,Hispanic,Medium,95.52156257,3.17700987,60.90871648,153,27,0.897580039,No,High School,78480,3,Yes,Yes,No,Yes,59,Yes,0.402272814
92,19,Female,Hispanic,Low,83.94769609,2.370745558,96.76890807,175,5,0.840851294,Yes,PhD,27044,2,Yes,Yes,No,No,48,Yes,0.764662555
93,21,Male,Asian,High,80.0861444,3.19954263,73.30581463,161,19,0.925360526,No,Associate Degree,91033,0,Yes,No,Yes,Yes,57,Yes,0.243932564
94,19,Male,White,High,65.55485306,3.723027414,72.2693263,159,21,0.871748502,Yes,Associate Degree,75486,2,Yes,No,No,No,48,No,0.838846016
95,19,Male,White,Medium,64.62950427,3.73727928,50.72835774,155,25,0.999129035,Yes,Master's Degre,75162,1,Yes,Yes,Yes,No,41,Yes,0.375882854
96,23,Female,Hispanic,Low,66.17286261,3.448688813,62.36998735,174,6,0.896036703,No,High School,99287,4,Yes,Yes,Yes,No,58,Yes,0.532169961
97,21,Male,White,Low,66.87393925,3.491506758,93.3146218,150,30,0.897177121,Yes,Master's Degre,49882,0,No,Yes,Yes,Yes,13,Yes,0.941960488
98,23,Male,Black,Low,85.51508371,3.11585489,58.23142141,156,24,0.913170357,Yes,Master's Degre,74078,0,Yes,Yes,Yes,No,53,Yes,0.68125563
99,24,Male,Asian,Medium,89.63925001,3.16933618,70.75624698,175,5,0.983351201,Yes,Bachelor's Degree,78734,4,No,No,No,Yes,54,Yes,0.645604113
100,24,Female,Black,Low,81.19966092,2.267301163,50.71654529,176,4,0.96016362,Yes,PhD,63826,0,No,No,Yes,No,41,Yes,0.711607728
101,23,Female,White,Medium,93.1607093,2.887718377,73.91677408,170,10,0.890226014,No,Associate Degree,64028,4,No,Yes,No,Yes,13,No,0.918111339
102,24,Female,Hispanic,Medium,99.65052907,2.901552568,51.05105534,177,3,0.943739853,No,High School,71331,0,No,Yes,Yes,Yes,10,Yes,0.248513709
103,21,Female,Asian,Medium,92.80050516,3.916995671,90.98047765,165,15,0.9172471,Yes,PhD,52543,2,No,No,No,No,42,No,0.613241206
104,18,Female,White,High,87.79529495,2.862173725,91.24268837,173,7,0.89847341,No,PhD,49362,0,Yes,Yes,No,No,16,No,0.400393854
105,23,Male,White,Low,81.29970798,3.09868529,89.38710942,163,17,0.838463155,Yes,High School,47315,3,Yes,No,No,Yes,18,Yes,0.011855293
106,22,Female,Hispanic,Low,77.95412287,3.066502799,64.16820344,172,8,0.892787253,No,PhD,47746,4,Yes,Yes,No,No,10,Yes,0.125300896
107,22,Female,Hispanic,Medium,63.37569522,3.273523434,91.86186091,169,11,0.849163717,No,Bachelor's Degree,30057,0,No,No,Yes,Yes,25,No,0.324991895
108,19,Female,Black,Medium,75.97474994,3.496465663,77.14990663,169,11,0.98296843,No,PhD,62915,4,Yes,Yes,No,Yes,27,No,0.564999971
109,24,Male,Asian,Low,96.40538547,2.450083752,68.69040544,155,25,0.867081363,No,Bachelor's Degree,41061,3,No,Yes,Yes,Yes,56,No,0.881474777
110,22,Female,Asian,Medium,92.3209052,3.057448838,81.26649799,171,9,0.990452803,No,Associate Degree,71370,0,No,Yes,No,No,15,Yes,0.791114118
111,19,Female,Hispanic,Low,68.6420546,3.651835415,50.6170523,174,6,0.906611058,Yes,Associate Degree,54157,0,No,No,No,Yes,11,No,0.553333672
112,18,Male,Black,High,78.66431139,2.926229428,57.14804388,177,3,0.926308876,No,Master's Degre,31322,3,No,No,No,Yes,18,Yes,0.073870418
113,21,Female,Asian,Medium,92.6689281,2.556915093,87.11467691,154,26,0.908588089,Yes,Bachelor's Degree,89812,3,Yes,Yes,Yes,Yes,13,Yes,0.28590629
114,21,Male,Hispanic,Low,62.69538219,3.309418151,62.20808044,173,7,0.825876123,Yes,Associate Degree,97842,3,Yes,Yes,No,Yes,54,No,0.366708648
115,21,Male,White,Medium,75.49570343,3.647534792,79.90045587,170,10,0.875164244,No,PhD,54017,4,Yes,Yes,Yes,No,32,Yes,0.621717185
116,22,Male,Asian,Low,94.07364947,2.126280586,69.25513014,167,13,0.819829222,Yes,High School,76792,3,Yes,Yes,Yes,No,52,Yes,0.064923623
117,18,Male,Black,Low,76.15591457,3.553580967,92.74028894,164,16,0.924590809,No,High School,47742,4,Yes,No,Yes,No,54,No,0.530193555
118,22,Male,Black,Medium,63.10458579,3.643295866,97.6207653,155,25,0.889374839,Yes,Bachelor's Degree,84808,2,No,No,No,No,52,No,0.901464576
119,24,Female,Black,High,81.70137474,2.923045855,94.17823642,174,6,0.955596994,Yes,Master's Degre,37629,0,Yes,No,No,Yes,17,Yes,0.705432696
120,22,Male,White,Low,94.4696998,3.966611314,63.53099973,178,2,0.844094096,No,PhD,28245,0,No,Yes,No,Yes,48,No,0.797076807
121,18,Male,Asian,Low,83.61142172,3.573416681,59.70814345,168,12,0.832913212,No,Bachelor's Degree,63870,1,No,Yes,No,Yes,34,Yes,0.681675648
122,18,Female,Asian,Low,69.05116433,3.54732513,73.72174468,150,30,0.881266446,No,High School,84829,2,No,No,No,Yes,25,No,0.206589112
123,24,Male,White,High,75.36958481,3.495677149,50.36670754,150,30,0.985317077,No,Bachelor's Degree,30588,3,Yes,Yes,No,Yes,44,No,0.11048382
124,18,Female,Asian,High,78.00493445,2.301216206,51.29046964,162,18,0.942084363,Yes,PhD,20442,3,No,No,No,Yes,26,No,0.829490673
125,18,Female,White,Medium,83.17065415,2.434461773,77.66453198,152,28,0.883784725,No,Associate Degree,97339,2,No,No,Yes,No,27,No,0.695504436
126,21,Female,White,High,90.37404103,2.927980263,76.02247021,159,21,0.903454434,Yes,PhD,60721,3,Yes,No,No,Yes,36,Yes,0.575061559
127,24,Male,White,Medium,63.95494471,2.5280087,99.72909945,170,10,0.816842602,Yes,Associate Degree,57145,1,No,No,Yes,Yes,24,No,0.189282865
128,20,Male,Black,Medium,95.58608132,2.830481945,60.09209177,152,28,0.996915179,Yes,Associate Degree,30599,4,No,Yes,Yes,Yes,26,Yes,0.603344965
129,20,Male,Asian,High,60.49238812,3.77692822,62.90519646,158,22,0.933281461,Yes,Associate Degree,92594,0,No,No,No,No,52,Yes,0.031321785
130,18,Female,White,Medium,74.80209339,3.648653784,55.67703212,157,23,0.857080814,Yes,Bachelor's Degree,97430,2,Yes,Yes,No,Yes,14,No,0.118839134
131,20,Male,Asian,High,61.0968124,3.260079757,95.87715048,152,28,0.917161679,Yes,High School,22939,0,No,No,Yes,Yes,25,No,0.31189015
132,20,Male,Black,Medium,75.71896901,3.716240789,88.89056222,174,6,0.821896473,No,Bachelor's Degree,42149,4,No,No,Yes,Yes,24,No,0.443738277
133,18,Male,White,High,81.03250395,3.567544778,91.11695557,162,18,0.993167334,Yes,High School,86567,2,Yes,No,No,No,51,No,0.120564496
134,20,Female,Hispanic,High,80.46725546,2.857969864,95.1381894,155,25,0.834956998,Yes,PhD,30208,4,Yes,No,Yes,Yes,55,No,0.119940184
135,22,Female,Black,Medium,66.62513388,2.402130304,76.24499934,162,18,0.929606064,Yes,Master's Degre,86098,3,No,Yes,Yes,Yes,43,Yes,0.725893661
136,19,Male,Hispanic,Low,85.8296204,3.02840208,72.55965957,172,8,0.849090893,No,PhD,69492,3,Yes,Yes,Yes,No,57,No,0.569719407
137,24,Male,Asian,Medium,61.79113802,3.472457765,66.51957368,169,11,0.943512277,No,Bachelor's Degree,40951,3,Yes,Yes,Yes,Yes,28,Yes,0.533741981
138,19,Male,Asian,High,90.47627281,2.872839197,79.46073072,169,11,0.955364273,Yes,Bachelor's Degree,68920,4,Yes,Yes,No,No,17,Yes,0.452434495
139,18,Male,Black,Low,97.86577736,3.33354382,72.71391984,161,19,0.934683946,No,High School,66766,4,Yes,No,No,Yes,56,Yes,0.976543106
140,21,Female,Asian,Medium,73.59075309,2.188654853,72.57827933,162,18,0.922899892,Yes,Bachelor's Degree,77014,4,Yes,Yes,Yes,No,19,Yes,0.049800283
141,24,Female,Hispanic,Medium,80.68957527,3.496009473,96.84639319,151,29,0.978493819,No,Associate Degree,48351,0,Yes,Yes,Yes,Yes,14,No,0.180627176
142,18,Female,White,Medium,75.15641112,3.62542724,99.20157571,170,10,0.815725342,Yes,Bachelor's Degree,69386,4,Yes,No,Yes,Yes,57,No,0.647507757
143,21,Female,White,Low,60.26841561,3.413675712,89.82421947,173,7,0.866182953,No,High School,29308,3,No,Yes,No,No,35,Yes,0.136365654
144,19,Male,White,High,75.43498012,3.934527175,87.83790451,172,8,0.849657496,No,High School,79252,1,Yes,Yes,No,Yes,31,Yes,0.589380938
145,18,Male,Black,Medium,91.66881037,3.653304115,84.02790809,165,15,0.997602792,No,Associate Degree,95145,4,Yes,Yes,Yes,Yes,53,No,0.567761225
146,24,Male,Asian,Medium,83.83955369,3.806187456,58.30374262,172,8,0.877877956,Yes,High School,48064,1,Yes,Yes,Yes,No,32,Yes,0.971005184
147,24,Female,Hispanic,Medium,64.05039658,3.867142167,52.95529104,155,25,0.94652254,Yes,Master's Degre,73879,3,No,No,Yes,Yes,22,No,0.883386487
148,23,Male,Asian,Medium,93.88557959,3.602695984,84.53631576,168,12,0.936945033,Yes,PhD,28720,4,Yes,No,No,No,18,Yes,0.945553344
149,22,Female,Asian,Medium,81.2434138,3.348517684,86.43931111,170,10,0.842416247,No,Bachelor's Degree,62940,0,Yes,Yes,Yes,Yes,58,No,0.113602369
150,20,Female,Asian,High,93.66893447,2.011437163,52.34864955,162,18,0.847799536,No,Master's Degre,99993,0,No,No,Yes,No,29,Yes,0.868148437
151,21,Male,White,High,83.20886075,2.931651506,96.40258751,166,14,0.856256913,Yes,Bachelor's Degree,88475,1,Yes,Yes,Yes,Yes,37,Yes,0.129090662
152,23,Male,Hispanic,Medium,82.38753779,3.142324597,54.55703197,172,8,0.882225456,No,Master's Degre,67113,0,No,Yes,Yes,Yes,53,Yes,0.632932179
153,20,Male,Hispanic,Low,64.21036741,2.608060545,64.29502669,158,22,0.846865013,Yes,Bachelor's Degree,68926,0,No,Yes,Yes,No,46,No,0.720078161
154,20,Female,Asian,High,66.69438933,2.636208894,83.61949064,166,14,0.803930297,Yes,Associate Degree,58203,0,Yes,No,No,Yes,33,No,0.160853498
155,18,Male,White,Low,98.88101026,3.922318831,58.49362972,178,2,0.975878611,Yes,High School,25392,3,No,No,No,No,53,No,0.632659376
156,20,Female,White,High,69.13946987,3.78342173,52.77079442,151,29,0.993121966,Yes,High School,45905,0,Yes,No,No,No,42,Yes,0.052460493
157,22,Male,Hispanic,Medium,99.09808472,3.698358011,66.55732446,168,12,0.868314077,No,Associate Degree,93508,2,Yes,No,Yes,No,29,Yes,0.293266086
158,24,Female,White,High,81.27650826,2.812023603,88.29857874,168,12,0.867701376,No,Master's Degre,70385,4,No,No,No,Yes,57,Yes,0.921158494
159,23,Female,White,Medium,65.43156188,2.027397101,70.68393395,173,7,0.801418363,No,PhD,50653,0,No,No,Yes,Yes,39,Yes,0.171731163
160,20,Male,White,High,63.97208811,2.160444493,82.6486461,156,24,0.936050138,Yes,Master's Degre,34799,0,Yes,Yes,No,Yes,53,Yes,0.065269992
161,18,Female,Black,Medium,68.35456283,2.624392736,78.98095486,171,9,0.965087979,No,High School,80103,0,Yes,No,No,No,18,Yes,0.4436782
162,22,Female,Asian,Medium,97.0254932,2.031485826,51.1109241,159,21,0.82932166,Yes,PhD,35052,2,No,Yes,Yes,No,54,No,0.850618209
163,19,Male,Hispanic,Medium,76.56600897,2.034299564,99.42699935,159,21,0.83193327,Yes,Bachelor's Degree,26044,0,Yes,Yes,Yes,No,58,No,0.076672382
164,24,Female,Hispanic,Medium,75.81737072,3.833206603,52.07140444,176,4,0.95801665,Yes,PhD,39871,0,Yes,No,Yes,Yes,26,No,0.355535365
165,24,Male,Black,Low,72.52825044,3.412317004,98.39013688,169,11,0.92325815,Yes,Master's Degre,40234,4,Yes,Yes,No,No,45,Yes,0.899774835
166,23,Female,Asian,Medium,65.88247402,2.61791198,77.49320892,158,22,0.808972112,Yes,Associate Degree,41381,2,No,Yes,Yes,Yes,23,No,0.11815555
167,24,Male,Hispanic,Low,79.51404789,2.265289155,98.15795135,166,14,0.924509398,Yes,Bachelor's Degree,37274,2,Yes,Yes,No,Yes,28,Yes,0.310668506
168,20,Male,White,Low,65.2019113,3.023271436,55.73767997,176,4,0.861783545,No,Master's Degre,69892,0,Yes,No,No,Yes,16,Yes,0.778420612
169,18,Female,Hispanic,Medium,93.41920946,2.010692322,74.52042596,164,16,0.873745031,No,Bachelor's Degree,70521,2,Yes,No,No,Yes,12,No,0.543210987
170,24,Female,White,Low,74.81587945,3.876827488,58.47520459,151,29,0.953946284,No,PhD,37920,1,No,Yes,Yes,Yes,42,Yes,0.832333141
171,24,Female,Black,High,74.99214271,2.829630239,52.54874385,179,1,0.962187039,No,High School,36702,2,No,No,Yes,Yes,53,Yes,0.111595393
172,19,Female,White,Medium,78.96025714,2.80466991,80.87645575,153,27,0.880071325,Yes,Master's Degre,21894,2,No,Yes,Yes,Yes,41,Yes,0.920554171
